Date,Target Name,Target Tags,Target Description,Revenue,Revenue Year,Sector,Buyers,Sellers,Valorisation,Operation Type,Transaction Amount
12 déc. 2024,HUGUIER FRERES,"France |, Grand Est","Spécialiste de la transformation de produits carnés régionaux à destination des grossistes, acteurs de la restauration scolaire, commerces de bouche et des particuliers",30,2023,N/A,GROUPE ALLIANCE,MANAGER(S),0-20 M€,Build-up,0-20
12 déc. 2024,PATRIARCHE,"France |, Auvergne-Rhône-Alpes",Agence d'architecture augmentée,219,2023,"Immobilier & construction, bâtiment","EURAZEO GLOBAL INVESTOR, CRÉDIT AGRICOLE ALPES D...",n/a,50-150 M€,Augmentation de capital,N/A
12 déc. 2024,ANYBOTICS,"Suisse |, Etranger","Concepteur et fabricant de robots à jambes conçus pour automatiser des tâches d'inspection, de maintenance et de surveillance dans des installations industrielles difficiles d'accès ou dangereuses",,N/A,Produits & Services industriels,"QUALCOMM VENTURES, SUPERNOVA INVEST, TDK VENTURES, WALDEN CATALYST, NGP CAPITAL (NOKIA GROW..., BESSEMER VENTURE PARTNERS, SWISSCANTO, SWISSCOM VENTURES",n/a,n.d.,2e tour,N/A
11 déc. 2024,ALBINGIA,"France |, Île-de-France",Compagnie d’assurance spécialisée dans les risques d’entreprises,334,2023,N/A,"FINANCIERE DE BLACAILLO..., KREFELD, FAIRFAX FINANCIAL",EURAZEO,500-1000 M€,LBO IV,N/A
11 déc. 2024,INLOGIQ,"Espagne |, Etranger",Solutions d'automatisation des processus métier.,,N/A,Logiciel et services informatiques,"DEVOTEAM, KKR",LABERIT,0-20 M€,Build-up international,0-20
11 déc. 2024,NOEMA PHARMA,"France |, Etranger",R&D traitement des maladies neurologiques orphelines,,N/A,N/A,EQT LIFE SCIENCES (EX-L...,n/a,n.d.,2e tour,N/A
11 déc. 2024,THEMATCHBOX,"Belgique |, Etranger","Éditeur de logiciels, basés sur l'intelligence artificielle, de recherche de compétences et de sélection de CV",,N/A,Logiciel et services informatiques,"PIXID, KEENSIGHT CAPITAL",FONDATEUR(S),0-20 M€,Build-up international,0-20
11 déc. 2024,TANGLE TEEZER,"Royaume-Uni |, Etranger",Marque de brosse à cheveux.,70,2024,Services & Biens de consommation,SOCIETE BIC,"MAYFAIR EQUITY PARTNERS
                                                    
                            ,                                                            
                                                                        MANAGER(S)",200 M€,M&A (Int'l),N/A
11 déc. 2024,LES MONTEURS DE LA BRIE (LMDB),"France |, Île-de-France",Travaux de montage de structures métalliques,2.50,2023,Services & Conseil aux entreprises,ALTRAD,MANAGER(S),n.d.,Retournement,n.d.
11 déc. 2024,SHINE,"France |, Île-de-France",Banque en ligne et solution de gestion factures et échéances administratives pour freelance,,N/A,"Internet & ecommerce, eservices",AGERAS,GROUPE SOCIETE GENERALE,n.d.,M&A (Int'l),n.d.
11 déc. 2024,IRISNDT,"Canada |, Etranger","Services de contrôle non-destructif (non destructive testing NDT/CND), d’inspection, d’ingénierie en asset integrity",278,2023,Produits & Services industriels,"APAVE, PAI PARTNERS","MANAGER(S)
                    
                                                ,                                                            
                                
                                                                                                                    FIRST RESERVE CORPORATION",250-500 M€,Build-up international,250-500
10 déc. 2024,KLAXOON,"France |, Bretagne",Éditeur d'une solution collaborative d'animation de réunions en entreprise,,N/A,Logiciel et services informatiques,"WRIKE, SYMPHONY TECHNOLOGY GRO...","FONDATEUR(S)
                    
                                                ,                                                            
                                                                        MANAGER(S)
                    
                                                ,                                                            
                                
                                                                                                                    WHITE STAR CAPITAL
                                                    
                            ,                                                            
                                
                                                                                                                    EURAZEO GLOBAL INVESTOR
                                                    
                            ,                                                            
                                
                                                                                                                    BPIFRANCE INVESTISSEMENT
                                                    
                            ,                                                            
                                
                                                                                                                    SOFIOUEST
                                                    
                            ,                                                            
                                
                                                                                                                    ARKEA CAPITAL",50-150 M€,Build-up international,N/A
10 déc. 2024,SEMANA,"France |, Île-de-France",Édition d'un outil de flex office : logiciel de gestion du travail hybride (en présentiel au bureau ou à domicile en télétravail),,N/A,"Internet & ecommerce, eservices",DESKBIRD,"FONDATEUR(S)
                    
                                                ,                                                            
                                
                                                                                                                    FARADAY VENTURE PARTNERS
                                                    
                            ,                                                            
                                
                                                                                                                    SUPER CAPITAL
                                                    
                            ,                                                            
                                
                                                                                                                    ONE GREEN
                                                    
                            ,                                                            
                                                                        BUSINESS ANGEL(S)",0-5 M€,M&A (Int'l),0-5
10 déc. 2024,NOVALLIANCE MEDICAL,"France |, Région Sud - Provence-A",Perfusion et nutrition à domicile,2.50,2024,"Santé, beauté et services associés","SANTÉ CIE, ASDIA, ARDIAN BUYOUT, UI INVESTISSEMENT, GROUPE HLD",MANAGER(S),0-20 M€,Build-up,0-20
